Name;Didok-Nummer;geopos;lod
Croy-Romainmôtier;8501106.0;46.6872435983, 6.48665518625;http://lod.opentransportdata.swiss/didok/8501106
Emmenbrücke;8502021.0;47.0879044211, 8.28731356998;http://lod.opentransportdata.swiss/didok/8502021
Diepflingen;8500031.0;47.4463336318, 7.84142922687;http://lod.opentransportdata.swiss/didok/8500031
Effretikon;8503305.0;47.4311656558, 8.72474332664;http://lod.opentransportdata.swiss/didok/8503305
Eschlikon;8506011.0;47.4596588159, 8.96403724028;http://lod.opentransportdata.swiss/didok/8506011
Dübendorf;8503128.0;47.391896768, 8.61833927789;http://lod.opentransportdata.swiss/didok/8503128
Egerkingen;8500214.0;47.3273056819, 7.7973889051;http://lod.opentransportdata.swiss/didok/8500214
Cugy FR;8504133.0;46.810296348, 6.88743943115;http://lod.opentransportdata.swiss/didok/8504133
Eglisau;8503402.0;47.574744381, 8.5272082105;http://lod.opentransportdata.swiss/didok/8503402
Lamone-Cadempino;8505219.0;46.046535055, 8.93286730305;http://lod.opentransportdata.swiss/didok/8505219
Lancy-Pont-Rouge;8516155.0;46.1861356041, 6.12035376241;http://lod.opentransportdata.swiss/didok/8516155
Langenthal;8508100.0;47.2157021108, 7.80374998863;http://lod.opentransportdata.swiss/didok/8508100
Küsnacht ZH;8503101.0;47.3210590396, 8.61330545257;http://lod.opentransportdata.swiss/didok/8503101
Laufenburg;8500322.0;47.543014739, 8.09124965244;http://lod.opentransportdata.swiss/didok/8500322
Kölliken;8502101.0;47.3349464028, 8.02198254078;http://lod.opentransportdata.swiss/didok/8502101
Kallnach;8504402.0;47.0142014529, 7.22075511783;http://lod.opentransportdata.swiss/didok/8504402
Lavorgo;8505205.0;46.4501173801, 8.81812612448;http://lod.opentransportdata.swiss/didok/8505205
Langnau;8508207.0;46.9572729601, 7.81064863402;http://lod.opentransportdata.swiss/didok/8508207
Kiesen;8507008.0;46.8139612689, 7.58092137659;http://lod.opentransportdata.swiss/didok/8507008
Gorgier-St-Aubin;8504205.0;46.9083532571, 6.75530849678;http://lod.opentransportdata.swiss/didok/8504205
Guntershausen;8506012.0;47.4945274405, 8.91136492557;http://lod.opentransportdata.swiss/didok/8506012
Grenchen Süd;8500202.0;47.1985733083, 7.38854357839;http://lod.opentransportdata.swiss/didok/8500202
Hägendorf;8500215.0;47.346732518, 7.82556767998;http://lod.opentransportdata.swiss/didok/8500215
Glovelier;8500123.0;47.3198431124, 7.24313447644;http://lod.opentransportdata.swiss/didok/8500123
