didok85;Name;URL;geopos;lod;Linie;Linienname;Betriebspunkt
8502008.0;Nottwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G421.pdf;47.1322197223, 8.14188270105;http://lod.opentransportdata.swiss/didok/8502008;421.0;Olten - Sursee - Luzern;NO
8505045.0;Luzern Einfahrt (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G421.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505045;421.0;Olten - Sursee - Luzern;LZEF
8505000.0;Luzern;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G421.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505000;421.0;Olten - Sursee - Luzern;LZ
8500032.0;Sommerau;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G422.pdf;47.4313779178, 7.84029730476;http://lod.opentransportdata.swiss/didok/8500032;422.0;Sissach - Läufelfingen - Olten;SOM
8515772.0;Olten Nord-Ost (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G422.pdf;47.3462406235, 7.90120042243;http://lod.opentransportdata.swiss/didok/8515772;422.0;Sissach - Läufelfingen - Olten;OLNO
8502031.0;Hallwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G431.pdf;47.3278182092, 8.17899126658;http://lod.opentransportdata.swiss/didok/8502031;431.0;Lenzburg - Hochdorf - Luzern;HD
8502042.0;Hochdorf Schönau;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G431.pdf;47.1657574261, 8.29172354409;http://lod.opentransportdata.swiss/didok/8502042;431.0;Lenzburg - Hochdorf - Luzern;HOSA
8502121.0;Walterswil-Striegel;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G432.pdf;47.3147414261, 7.94000510238;http://lod.opentransportdata.swiss/didok/8502121;432.0;Zofingen - Suhr - Lenzburg - Mellingen - Wettingen;WAST
8502119.0;Lenzburg;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G432.pdf;47.3869018981, 8.18158390584;http://lod.opentransportdata.swiss/didok/8502119;432.0;Zofingen - Suhr - Lenzburg - Mellingen - Wettingen;LB
8502107.0;Mellingen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G432.pdf;47.4224764998, 8.27525176187;http://lod.opentransportdata.swiss/didok/8502107;432.0;Zofingen - Suhr - Lenzburg - Mellingen - Wettingen;MEL
8505045.0;Luzern Einfahrt (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G441.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505045;441.0;Luzern - Hergiswil - Engelberg;LZEF
8508319.0;Horw;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G441.pdf;47.0139359983, 8.32242473929;http://lod.opentransportdata.swiss/didok/8508319;441.0;Luzern - Hergiswil - Engelberg;HW
8508318.0;Hergiswil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G441.pdf;46.9873073935, 8.28132853325;http://lod.opentransportdata.swiss/didok/8508318;441.0;Luzern - Hergiswil - Engelberg;HGW
8508390.0;Stansstad;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G441.pdf;46.9907661011, 8.35645011012;http://lod.opentransportdata.swiss/didok/8508390;441.0;Luzern - Hergiswil - Engelberg;SSTA
8508394.0;Wolfenschiessen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G441.pdf;46.8640721336, 8.39565292168;http://lod.opentransportdata.swiss/didok/8508394;441.0;Luzern - Hergiswil - Engelberg;WOS
8519123.0;Grafenort Ausweiche;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G441.pdf;46.8210283375, 8.43519583601;http://lod.opentransportdata.swiss/didok/8519123;441.0;Luzern - Hergiswil - Engelberg;GRAA
8518482.0;Luzern Steghof (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8518482;451.0;Luzern - Meiringen - Interlaken Ost;LZSH
8508320.0;Hergiswil Matt;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.9873073935, 8.28132853325;http://lod.opentransportdata.swiss/didok/8508320;451.0;Luzern - Meiringen - Interlaken Ost;MATT
8508317.0;Alpnachstad;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.9516594314, 8.23500228734;http://lod.opentransportdata.swiss/didok/8508317;451.0;Luzern - Meiringen - Interlaken Ost;AST
8508316.0;Alpnach Dorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.9516594314, 8.23500228734;http://lod.opentransportdata.swiss/didok/8508316;451.0;Luzern - Meiringen - Interlaken Ost;ADF
8508312.0;Giswil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.8371596081, 8.11996248194;http://lod.opentransportdata.swiss/didok/8508312;451.0;Luzern - Meiringen - Interlaken Ost;GI
8508311.0;Kaiserstuhl OW;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.7881089834, 8.16840747535;http://lod.opentransportdata.swiss/didok/8508311;451.0;Luzern - Meiringen - Interlaken Ost;KAI
8508310.0;Lungern;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.7881089834, 8.16840747535;http://lod.opentransportdata.swiss/didok/8508310;451.0;Luzern - Meiringen - Interlaken Ost;LUN
8508309.0;Brünig-Hasliberg;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.7198506043, 8.13541852251;http://lod.opentransportdata.swiss/didok/8508309;451.0;Luzern - Meiringen - Interlaken Ost;BRUE
8508341.0;Brunnenfluh;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G451.pdf;46.7198506043, 8.13541852251;http://lod.opentransportdata.swiss/didok/8508341;451.0;Luzern - Meiringen - Interlaken Ost;BRFL
8515993.0;Baar Lindenpark;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G461.pdf;47.1543542227, 8.51187149426;http://lod.opentransportdata.swiss/didok/8515993;461.0;Zürich - Thalwil - Zug - Luzern;BAAL
8516744.0;Kollermühle (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G461.pdf;47.1543542227, 8.51187149426;http://lod.opentransportdata.swiss/didok/8516744;461.0;Zürich - Thalwil - Zug - Luzern;KOLM
8515995.0;Cham Alpenblick;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G461.pdf;47.2006432766, 8.44952483663;http://lod.opentransportdata.swiss/didok/8515995;461.0;Zürich - Thalwil - Zug - Luzern;CHAA
8505041.0;Gütsch (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G461.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505041;461.0;Zürich - Thalwil - Zug - Luzern;GTS
8515732.0;Heimbach (Spw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G461.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8515732;461.0;Zürich - Thalwil - Zug - Luzern;HEIM
8505000.0;Luzern;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G461.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505000;461.0;Zürich - Thalwil - Zug - Luzern;LZ
8515482.0;Zürich Aussersihl (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.3827805142, 8.53249635497;http://lod.opentransportdata.swiss/didok/8515482;462.0;Zürich - Enge - Zug - Arth-Goldau;ZAU
8503202.0;Thalwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.2888491088, 8.56022370648;http://lod.opentransportdata.swiss/didok/8503202;462.0;Zürich - Enge - Zug - Arth-Goldau;TW
8502209.0;Oberrieden Dorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.2738944957, 8.57269332011;http://lod.opentransportdata.swiss/didok/8502209;462.0;Zürich - Enge - Zug - Arth-Goldau;ORDD
8502208.0;Horgen Oberdorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.2500210602, 8.58593303431;http://lod.opentransportdata.swiss/didok/8502208;462.0;Zürich - Enge - Zug - Arth-Goldau;HGO
8515992.0;Baar Neufeld;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.1967942026, 8.5381431962;http://lod.opentransportdata.swiss/didok/8515992;462.0;Zürich - Enge - Zug - Arth-Goldau;BAAN
8502300.0;Zug Postplatz;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.1543542227, 8.51187149426;http://lod.opentransportdata.swiss/didok/8502300;462.0;Zürich - Enge - Zug - Arth-Goldau;ZGPP
8502231.0;Zug Oberwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.1543542227, 8.51187149426;http://lod.opentransportdata.swiss/didok/8502231;462.0;Zürich - Enge - Zug - Arth-Goldau;ZGO
8502240.0;Goldau Mühlefluh (Verzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G462.pdf;47.0585475913, 8.52866344285;http://lod.opentransportdata.swiss/didok/8502240;462.0;Zürich - Enge - Zug - Arth-Goldau;GDMF
8500207.0;Solothurn;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G481.pdf;47.2096905323, 7.53101749712;http://lod.opentransportdata.swiss/didok/8500207;481.0;Solothurn - Burgdorf - Konolfingen - Thun;SO
8508088.0;Gerlafingen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G481.pdf;47.1718965839, 7.57296463843;http://lod.opentransportdata.swiss/didok/8508088;481.0;Solothurn - Burgdorf - Konolfingen - Thun;GLF
8508005.0;Burgdorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G481.pdf;47.055014183, 7.62009022169;http://lod.opentransportdata.swiss/didok/8508005;481.0;Solothurn - Burgdorf - Konolfingen - Thun;BDF
8508262.0;Walkringen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G481.pdf;46.962011217, 7.62833076054;http://lod.opentransportdata.swiss/didok/8508262;481.0;Solothurn - Burgdorf - Konolfingen - Thun;WALK
8508261.0;Biglen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G481.pdf;46.9291151971, 7.62765277852;http://lod.opentransportdata.swiss/didok/8508261;481.0;Solothurn - Burgdorf - Konolfingen - Thun;BIG
8508256.0;Stalden i.E.;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G481.pdf;46.8878982381, 7.60910009923;http://lod.opentransportdata.swiss/didok/8508256;481.0;Solothurn - Burgdorf - Konolfingen - Thun;STAL
8500265.0;Gänsbrunnen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G482.pdf;47.2633354106, 7.46793643529;http://lod.opentransportdata.swiss/didok/8500265;482.0;Moutier - Solothurn - Ramsei - Langnau;GAE
8500261.0;Langendorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G482.pdf;47.2230203279, 7.51645357493;http://lod.opentransportdata.swiss/didok/8500261;482.0;Moutier - Solothurn - Ramsei - Langnau;LADO
8508085.0;Aefligen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G482.pdf;47.097969347, 7.55042415342;http://lod.opentransportdata.swiss/didok/8508085;482.0;Moutier - Solothurn - Ramsei - Langnau;AEF
8508084.0;Kirchberg-Alchenflüh;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G482.pdf;47.0861699517, 7.56961468613;http://lod.opentransportdata.swiss/didok/8508084;482.0;Moutier - Solothurn - Ramsei - Langnau;KIAL
8508005.0;Burgdorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G482.pdf;47.055014183, 7.62009022169;http://lod.opentransportdata.swiss/didok/8508005;482.0;Moutier - Solothurn - Ramsei - Langnau;BDF
8508240.0;Obermatt;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G482.pdf;;http://lod.opentransportdata.swiss/didok/8508240;482.0;Moutier - Solothurn - Ramsei - Langnau;OM
